Region	Latitude	Longitude
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	39.916668	116.383331
East Asia	36.054871	103.828812
East Asia	36.054871	103.828812
East Asia	36.054871	103.828812
East Asia	36.054871	103.828812
East Asia	36.400000	118.400000
East Asia	40.81739	111.76629
East Asia	36.400000	118.400000
East Asia	36.400000	118.400000
East Asia	37.87059	112.54888
East Asia	36.88	118.7375
East Asia	36.200252	117.087614
East Asia	25.105497	121.597366
East Asia	30.25	120.166664
East Asia	30.25	120.166664
East Asia	37.56	126.99
East Asia	37.56	126.99
East Asia	37.56	126.99
East Asia	37.56	126.99
East Asia	21.028511	105.804817
East Asia	21.028511	105.804817
East Asia	21.028511	105.804817
Europe	44.787197	20.457273
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	36.838139	-2.459740
Europe	41.390205	2.154007
Europe	41.390205	2.154007
Europe	41.390205	2.154007
Europe	42.605556	-5.570000
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	37.98611	-1.13028
Europe	39.466667	-0.375000
Europe	43.2630	-2.93499
Europe	43.2630	-2.93499
Europe	41.648823	-0.889085
Europe	41.648823	-0.889085
Europe	41.648823	-0.889085
Europe	41.648823	-0.889085
Europe	50.4501	30.5234
Europe	51.5074	-0.1278
Middle East	30.0444	31.2357
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	35.6892	51.3890
Middle East	39.9334	32.8597
Middle East	39.9334	32.8597
Middle East	39.9334	32.8597
Middle East	39.9334	32.8597
